"ParasiteCheckedBinomial","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate","direct","indirect","Par.Type","Par.Phylum","Par.Class"
"Cylicodontophorus reineckei",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicodontophorus schuermanni",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicospirura felineus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicospirura subaequalis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicostephanus bidentatus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicostephanus calicatus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicostephanus longiconus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicostephanus minutus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cystoisospora felis",0,0,0,0,1,1,0,1,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Cystoisospora ohioensis",0,0,0,0,1,1,0,0,0,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Cytauxzoon felis",0,0,0,0,0,0,0,0,0,1,1,0,0,"Protozoa","Apicomplexa","Aconoidasida"
"Cytauxzoon manul",0,0,0,0,0,0,0,0,0,1,1,0,0,"Protozoa","Apicomplexa","Aconoidasida"
"Dactylopsylla percernis",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Damalinia aepycerus",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Damalinia pelea",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Damalinia sedecimdecembrii",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Damalinia theileri",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Damalinia thompsoni",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Damalinia tibialis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Damalinia zaganseeri",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Daubneya oldi",0,0,0,0,0,0,0,0,0,0,0,0,0,"Helminth","Nematoda",""
"Deltapapillomavirus Bovine papillomavirus 4",1,0,0,1,0,0,0,0,0,0,0,0,0,"Virus","DNA virus","ds"
"Deltaretrovirus Bovine leukemia virus",1,0,1,1,1,1,0,0,0,0,0,0,0,"Virus","retro-transcribing virus",""
"Deltaretrovirus Primate T-lymphotropic virus 1",1,1,1,0,0,0,0,0,0,0,0,1,0,"Virus","retro-transcribing virus",""
"Deltaretrovirus Primate T-lymphotropic virus 2",1,1,1,0,0,0,0,0,0,0,0,1,0,"Virus","retro-transcribing virus",""
"Demodex bisonianus",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Demodex bovis",1,0,1,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Demodex kutzeri",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Demodex phylloides",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Demodex ursi",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor albipictus",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor andersoni",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor atrosignatus",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor auratus",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor hunteri",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor nigrolineatus",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor nitens",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor occidentalis",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor reticulatus",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor rhinocerinus",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor steini",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor taiwanensis",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermacentor variabilis",0,0,0,0,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Dermatobia hominis",0,0,0,0,1,0,0,0,0,0,0,1,0,"Arthropod","Arthropoda","Insecta"
"Dermatophilus congolensis",1,0,0,1,1,1,0,0,0,1,0,0,0,"Bacteria","Actinobacteria","Actinobacteria"
"Diceronema versterae",0,0,0,0,0,0,0,0,0,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dicrocoelium dendriticum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Dicrocoelium lanceatum",0,0,0,0,0,0,0,0,0,0,1,0,1,"Helminth","Platyhelminthes","Trematoda"
"Dictyocaulus capreolus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dictyocaulus eckerti",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dictyocaulus filaria",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dictyocaulus magnus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dictyocaulus noerneri",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dictyocaulus viviparus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Didelphilichus serrifer",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Didelphonema longispiculata",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Dientamoeba fragilis",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Metamonada","Trichomonada"
"Dioctophyma renale",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Dipetalonema blanci",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema caudispina",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema gorillae",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema gracile",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema graciliformis",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema leopoldi",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema llewellyni",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dipetalonema marmosetae",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema mephitis",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dipetalonema nicollei",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema obtusa",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema parvum",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema procyonis",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dipetalonema rodhaini",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema spirocauda",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dipetalonema streptocercum",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dipetalonema vanhoofi",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Diphyllobothrium cordatum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diphyllobothrium dendriticum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diphyllobothrium ditremum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diphyllobothrium fayi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diphyllobothrium lanceolatum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diphyllobothrium latum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diphyllobothrium medium",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diphyllobothrium pacificum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diphyllobothrium tetrapterus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diplopylidium monoophorum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Diplopylidium noelleri",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Dipylidium caninum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Dirofilaria aethiops",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dirofilaria corynodes",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dirofilaria immitis",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dirofilaria lutrae",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dirofilaria macacae",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dirofilaria magnilarvatum",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dirofilaria repens",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dirofilaria schoutedeni",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Dirofilaria striata",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dirofilaria tenuis",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dirofilaria ursi",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Dracunculus insignis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Draschia megastoma",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Echidnophaga bradyta",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Echidnophaga gallinacea",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Echidnophaga larina",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Echinochasmus perfoliatus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Echinococcus granulosus",0,0,0,0,1,1,0,0,1,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Echinococcus multilocularis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Echinococcus oligarthrus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Echinococcus shiquicus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Echinococcus sibiricensis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Cestoda"
"Echinophthirius horridus",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Echinorhynchus gadi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Echinorhynchus lateralis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Echinostoma cinetorchis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Echinostoma hortense",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Edwardsiella tarda",0,0,0,0,1,1,0,1,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Ehrlichia canis",0,0,0,0,0,0,0,0,0,1,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria"
"Ehrlichia chaffeensis",0,0,0,0,0,0,0,0,0,1,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria"
"Ehrlichia ewingii",0,0,0,0,0,0,0,0,0,1,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria"
"Ehrlichia muris",0,0,0,0,0,0,0,0,0,1,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria"
"Ehrlichia ovina",0,0,0,0,0,0,0,0,0,1,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria"
"Ehrlichia ruminantium",0,0,0,0,0,0,0,0,0,1,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria"
"Eimeria auburnensis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria austriaca",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria bovis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria faurei",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria felina",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria furonis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria ictidea",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria macusaniensis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria madisonensis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria mccordocki",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria melis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria mephitidis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria moschati",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria nuttalli",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria odocoilei",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria oomingmakensis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria ovibus",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria ovina",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria pachylepyron",0,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria procyonis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria riedmuelleri",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria rupicaprae",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria vulpis",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria yakimoffmatshoulskyi",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Eimeria zuernii",0,0,0,0,1,0,0,0,1,0,0,0,0,"Protozoa","Apicomplexa","Coccidia"
"Elaeophora elaphi",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Elaeophora sagitta",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Elaeophora schneideri",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Elaphostrongylus alces",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Elaphostrongylus cervi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Elaphostrongylus rangiferi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Emmonsia crescens",0,0,0,0,1,1,0,0,0,0,0,0,0,"Fungus","Ascomycota","Eurotiomycetes"
"Empedobacter brevis",0,0,0,0,1,1,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Flavobacteriia"
"Endolimax nana",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Amoebozoa","Archamoebae"
"Entamoeba chattoni",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Sarcomastigophora","Lobosea"
"Entamoeba coli",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Sarcomastigophora","Lobosea"
"Entamoeba dispar",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Sarcomastigophora","Lobosea"
"Entamoeba hartmanni",1,0,0,0,1,0,0,1,1,0,0,1,0,"Protozoa","Sarcomastigophora","Lobosea"
"Entamoeba histolytica",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Sarcomastigophora","Lobosea"
"Entamoeba polecki",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Sarcomastigophora","Lobosea"
"Enterobacter cloacae",1,0,0,1,0,0,0,0,1,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Enterobius anthropopitheci",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda","Chromadorea"
"Enterobius bipapillatus",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda","Chromadorea"
"Enterobius brevicauda",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda","Chromadorea"
"Enterobius buckleyi",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda","Chromadorea"
"Enterobius macaci",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda","Chromadorea"
"Enterobius presbytis",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda","Chromadorea"
"Enterobius vermicularis",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda","Chromadorea"
"Enterococcus faecalis",1,0,0,1,1,1,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli"
"Enterococcus faecium",1,0,1,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli"
"Enterovirus Enterovirus B",1,0,0,0,1,0,0,0,0,0,0,1,0,"Virus","RNA virus","ss+"
"Enterovirus Enterovirus C",1,0,0,0,1,0,0,0,0,0,0,1,0,"Virus","RNA virus","ss+"
"Enterovirus Enterovirus G",0,0,0,0,1,1,0,1,1,0,0,0,0,"Virus","RNA virus","ss+"
"Entomophthora coronata",0,0,0,0,1,0,0,0,0,0,0,0,1,"Fungus","Entomophthoromycota","Entomophthorales"
"Entopolypoides macaci",0,0,0,0,0,0,0,0,0,1,0,0,1,"Protozoa","Apicomplexa","Aconoidasida"
"Ephemerovirus Bovine ephemeral fever virus",1,0,0,1,0,0,0,0,0,0,0,0,0,"Virus","RNA virus","ss-"
"Ephemerovirus Kimberley virus",0,0,0,0,0,0,0,0,0,0,0,0,0,"Virus","RNA virus","ss-"
"Erysipelothrix rhusiopathiae",1,0,0,1,1,1,1,1,1,1,0,0,0,"Bacteria","Firmicutes","Erysipelotrichia"
"Erythrovirus Human parvovirus B19",1,0,0,0,1,0,0,0,0,0,0,1,0,"Virus","DNA virus","ss"
"Escherichia coli",1,0,0,0,1,0,0,0,1,0,0,1,1,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Eucoleus aerophilus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Eucoleus boehemi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Eucoleus schvalovoj",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Eucyathostomum webbi",0,0,0,0,0,0,0,0,0,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Eulaelaps stabularis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Euparyphium inermo",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Euparyphium melis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Euryhelmis costaricensis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Euryhelmis squamula",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Eurytrema cervum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Eurytrema procyonis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Eutrombicula alfreddugesi",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Eutrombicula splendens",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Fasciola gigantica",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Fasciola hepatica",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Fascioloides magna",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Felicola felicola",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Felicola inaequalis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Felicola vulpis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Fibricola cartera",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Fibricola texensis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Filaria taxideae",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Filariopsis arator",0,0,0,0,0,0,0,0,0,0,1,0,1,"Helminth","Nematoda",""
"Filariopsis barretoi",0,0,0,0,0,0,0,0,0,0,1,0,1,"Helminth","Nematoda",""
"Filariopsis cebuellaa",0,0,0,0,0,0,0,0,0,0,1,0,1,"Helminth","Nematoda",""
"Filariopsis gordius",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda",""
"Filariopsis usper",0,0,0,0,0,0,0,0,0,0,1,0,1,"Helminth","Nematoda",""
"Filaroides bronchialis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides canadensis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides caspicus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides decorus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides gymnurus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides hispidus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides krascheninnikovi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides martis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides milksi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Filaroides rostratus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Flavivirus Bouboui virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Flavivirus Bussuquara virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Flavivirus Dengue virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Flavivirus Ilheus virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Flavivirus Japanese encephalitis virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Flavivirus St. Louis encephalitis virus",0,0,0,0,0,0,0,0,0,1,0,0,0,"Virus","RNA virus","ss+"
"Flavivirus Tick-borne encephalitis virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Flavivirus West Nile virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Flavivirus Yellow fever virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Flavivirus Zika virus",0,0,0,0,0,0,0,0,0,1,0,0,1,"Virus","RNA virus","ss+"
"Foxella ignota",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Francisella tularensis",1,0,0,1,1,1,1,1,1,1,0,1,1,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Fusobacterium necrophorum",0,0,0,0,1,0,1,1,1,0,0,0,0,"Bacteria","Fusobacteria","Fusobacteriia"
"Gaigeria pachyscelis",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Galactosomum stelleri",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
