"ParasiteCheckedBinomial","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate","direct","indirect","Par.Type","Par.Phylum","Par.Class"
"Campylobacter fetus",1,1,0,0,1,1,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Epsilonproteobacteria"
"Campylobacter jejuni",1,0,0,1,1,1,0,1,1,0,0,0,0,"Bacteria","Proteobacteria","Epsilonproteobacteria"
"Candida albicans",1,0,1,1,1,0,0,0,0,0,0,1,1,"Fungus","Ascomycota","Saccharomycetes"
"Candida guilliermondii",1,0,1,0,1,0,0,0,0,0,0,1,1,"Fungus","Ascomycota","Saccharomycetes"
"Candida pseudotropicalis",1,0,1,0,1,0,0,0,0,0,0,1,1,"Fungus","Ascomycota","Saccharomycetes"
"Candida tropicalis",1,0,1,0,1,0,0,0,0,0,0,1,1,"Fungus","Ascomycota","Saccharomycetes"
"Capillaria aerophila",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Capillaria brochieri",0,0,0,0,1,0,0,0,0,0,1,0,1,"Helminth","Nematoda","Enoplea"
"Capillaria hepatica",0,0,0,0,1,1,0,0,1,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Capillaria mucronata",0,0,0,0,1,1,0,1,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Capillaria mustelorum",0,0,0,0,1,1,0,0,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Capillaria plica",0,0,0,0,1,1,0,0,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Capillaria procyonis",0,0,0,0,1,1,0,1,1,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Capillaria putorii",0,0,0,0,1,1,0,0,0,0,1,0,0,"Helminth","Nematoda","Enoplea"
"Capreocaulus capreoli",0,0,0,0,0,0,0,0,0,0,0,0,0,"Helminth","Nematoda",""
"Capripoxvirus Lumpy skin disease virus",1,0,0,1,0,0,0,0,0,1,0,0,0,"Virus","DNA virus","ds"
"Cardiovirus Encephalomyocarditis virus",1,0,0,0,1,0,0,0,1,0,0,1,0,"Virus","RNA virus","ss+"
"Carios puertoricensis",0,0,0,0,1,1,1,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Cebidicola extrarius",1,0,0,0,0,0,0,0,0,0,0,1,0,"Arthropod","Arthropoda","Insecta"
"Cebidicola semiarmatus",1,0,0,0,0,0,0,0,0,0,0,1,0,"Arthropod","Arthropoda","Insecta"
"Cediopsylla inaequalis",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Centrorhynchus aluconis",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Centrorhynchus bazaleticus",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Centrorhynchus conspectus",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Centrorhynchus elongatus",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Centrorhynchus teres",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Centrorhynchus undulatus",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Centrorhynchus wardae",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Cephenemyia trompe",0,0,0,0,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Ceratophyllus gallinae",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Ceratophyllus sciurorum",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Ceratospira opthalmica",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cercogylus africanus",0,0,0,0,0,0,0,0,0,0,1,0,1,"Helminth","Nematoda",""
"Cercopithifilaria degraaffi",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Cercopithifilaria eberhardi",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Cercopithifilaria kenyensis",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Cercopithifilaria narokensis",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Cercopithifilaria shohoi",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cercopithifilaria verveti",0,0,0,0,0,0,0,0,0,1,0,0,1,"Helminth","Nematoda","Chromadorea"
"Cervicola lerouxi",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Cervicola meyeri",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Cervicola natalensis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Cervicola reduncae",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Chabertia ovina",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Chaetopsylla globiceps",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Chaetopsylla lotoris",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Chaetopsylla matina",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Chaetopsylla trichosa",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Cheyletiella parasitovorax",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Chilomastix mesnili",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Sarcomastigophora","Zoomastigophora"
"Chlamydia psittaci",1,1,1,1,1,1,0,1,1,1,0,1,1,"Bacteria","Chlamydiae","Chlamydiia"
"Chlamydophila abortus",1,1,0,1,1,1,0,0,0,0,0,0,0,"Bacteria","Chlamydiae","Chlamydiia"
"Chlamydophila felis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria","Chlamydiae","Chlamydiia"
"Chorioptes bovis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Chorioptes japonensis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Chorioptes texanus",1,0,0,1,0,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Arachnida"
"Chronic Wasting Disease",1,0,0,1,1,1,0,0,0,0,0,0,0,"Prion","",""
"Chrysosporium parvum",0,0,0,0,1,1,1,0,0,0,0,0,0,"Fungus","Ascomycota","Eurotiomycetes"
"Chrysosporium tropicum",0,0,0,0,0,0,0,0,0,0,0,0,0,"Fungus","Ascomycota","Onygenales"
"Citrobacter diversus",1,0,1,1,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Citrobacter freundii",1,0,0,1,1,1,1,1,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Clostridium bartlettii",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium botulinum",0,0,0,0,1,1,1,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium chauvoei",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium colicanis",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium difficile",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium disporicum",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium glycolicum",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium haemolyticum",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium hiranonis",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium paraputrificum",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium perfringens",1,0,0,1,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium sardiniense",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium septicum",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Clostridium sordellii",0,0,0,0,1,1,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia"
"Coccidioides immitis",0,0,0,0,1,1,1,0,0,0,0,0,0,"Fungus","Ascomycota","Eurotiomycetes"
"Colobenterobius colobis",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
"Colobenterobius entellus",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
"Colobenterobius guerezae",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
"Colobenterobius inglisi",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
"Colobenterobius longispiculum",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
"Colobenterobius paraguerezae",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
"Colobenterobius pesteri",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
"Colobenterobius presbytis",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
"Colobenterobius zakiri",1,0,0,0,1,0,0,0,0,0,0,1,0,"Helminth","Nematoda",""
